clip_id,frame_idx,ts_offset,label,flow_magnitude,strip_diff_v1,strip_diff_v3
d004,1152,19.200000,noise,0.009602,0.005192,0.036562
d004,1164,19.400000,noise,2.492782,0.008972,0.123063
d004,1176,19.600000,noise,5.870803,0.000000,0.055000
d004,1188,19.800000,noise,2.117015,0.547177,1.707688
d005,12,0.200000,noise,0.168828,0.133367,0.161688
d005,24,0.400000,noise,0.258846,0.042389,0.131312
d005,36,0.600000,noise,0.235952,0.090726,0.245688
d005,48,0.800000,noise,0.379391,0.068347,0.215938
d005,60,1.000000,noise,0.186424,0.080091,0.165437
d005,72,1.200000,noise,0.306853,0.061895,0.158500
d005,84,1.400000,noise,0.330672,0.081502,0.246250
d005,96,1.600000,noise,0.703512,0.067187,0.503875
d005,108,1.800000,noise,0.948724,0.111946,0.495688
d005,120,2.000000,noise,0.533031,0.060635,0.455250
d005,132,2.200000,noise,1.534626,0.098286,0.719750
d005,144,2.400000,noise,0.910929,0.080847,0.444625
d005,156,2.600000,noise,1.312616,0.081905,1.126937
d005,168,2.800000,noise,0.636184,0.038659,0.916000
d005,180,3.000000,noise,0.715110,0.213710,0.999125
d005,192,3.200000,noise,0.222253,0.078982,0.251812
d005,204,3.400000,noise,1.127138,0.357661,1.387063
d005,216,3.600000,noise,0.359800,0.183367,0.749625
d005,228,3.800000,noise,0.353263,0.103931,0.254625
d005,240,4.000000,noise,0.387515,0.273085,1.251375
d005,252,4.200000,noise,0.237523,0.473337,1.760750
d005,264,4.400000,noise,0.290306,0.045615,0.095750
d005,276,4.600000,noise,0.286831,0.048085,0.225938
d005,288,4.800000,noise,0.121578,0.050000,0.260062
d005,300,5.000000,noise,0.342820,0.076058,0.497625
d005,312,5.200000,noise,2.248293,3.652571,1.903563
d005,324,5.400000,noise,1.194856,0.033569,0.344687
d005,336,5.600000,noise,1.669700,0.048740,0.495812
d005,348,5.800000,noise,1.306146,0.020212,0.205063
d005,360,6.000000,post_event,1.314921,0.037500,0.308000
d005,372,6.200000,post_event,1.771789,0.076411,0.838187
d005,384,6.400000,post_event,1.375062,0.057611,0.408625
d005,396,6.600000,post_event,1.280297,0.019304,0.293000
d005,408,6.800000,post_event,1.356265,0.047883,0.330625
d005,420,7.000000,post_event,1.706131,0.035081,0.441812
d005,432,7.200000,post_event,0.019547,0.031250,0.151500
d005,444,7.400000,post_event,2.080637,0.065927,0.820688
d005,456,7.600000,post_event,1.696684,0.055696,0.700063
d005,468,7.800000,post_event,0.024432,0.057813,0.068750
d005,480,8.000000,post_event,1.723989,0.060685,0.373937
d005,492,8.200000,post_event,1.318825,0.034778,0.451875
d005,504,8.400000,post_event,1.436213,0.536895,1.722500
d005,516,8.600000,real_delivery,1.238873,0.050252,0.239437
d005,528,8.800000,real_delivery,1.540490,0.038508,0.518437
d005,540,9.000000,real_delivery,1.161844,0.024849,0.646312
d005,552,9.200000,real_delivery,0.017070,0.006502,0.044812
d005,564,9.400000,real_delivery,1.112881,0.019909,0.267000
d005,576,9.600000,real_delivery,1.149920,0.080847,2.308312
d005,588,9.800000,real_delivery,1.927612,1.572530,15.428062
d005,600,10.000000,real_delivery,1.511051,1.605444,15.523250
d005,612,10.200000,real_delivery,2.354050,7.791179,24.491250
d005,624,10.400000,real_delivery,2.831611,14.057560,29.200625
d005,636,10.600000,real_delivery,0.020609,0.025403,0.068750
d005,648,10.800000,real_delivery,2.061692,8.118145,11.566313
d005,660,11.000000,real_delivery,1.289350,1.455494,4.271250
d005,672,11.200000,real_delivery,1.445680,1.308014,3.449813
d005,684,11.400000,real_delivery,1.691278,0.829536,1.850313
d005,696,11.600000,post_event,1.527253,0.705393,2.149375
d005,708,11.800000,post_event,1.292572,1.063659,4.192312
d005,720,12.000000,post_event,1.438829,0.670867,3.793375
d005,732,12.200000,post_event,1.615295,0.617389,3.455563
d005,744,12.400000,post_event,1.677257,0.778276,3.054625
d005,756,12.600000,post_event,1.937140,1.843145,6.595438
d005,768,12.800000,post_event,1.973593,1.773790,11.768062
d005,780,13.000000,post_event,1.396255,0.900907,9.714750
d005,792,13.200000,post_event,1.522987,1.177419,7.112063
d005,804,13.400000,post_event,1.419041,0.523639,2.745500
d005,816,13.600000,post_event,1.507021,0.482611,1.786063
d005,828,13.800000,post_event,1.645344,0.507056,1.720125
d005,840,14.000000,post_event,0.007063,0.001260,0.039563
d005,852,14.200000,noise,1.412216,0.524546,1.208562
d005,864,14.400000,noise,1.444672,0.439113,0.993938
d005,876,14.600000,noise,1.389761,0.356351,0.997687
d005,888,14.800000,noise,1.225599,0.370212,0.830313
d005,900,15.000000,noise,1.256751,0.367692,0.879625
d005,912,15.200000,noise,1.680381,0.478931,0.969500
d005,924,15.400000,noise,0.010619,0.017389,0.087000
d005,936,15.600000,noise,1.363241,0.554536,1.131938
d005,948,15.800000,noise,1.092349,0.506401,0.988313
d005,960,16.000000,noise,1.244013,0.781855,1.836062
d005,972,16.200000,noise,1.204417,0.538558,0.793687
d005,984,16.400000,noise,1.179754,0.485433,0.762750
d005,996,16.600000,noise,1.168244,0.683518,1.119750
d005,1008,16.800000,noise,1.623747,0.552621,1.140875
d005,1020,17.000000,noise,1.390886,0.626714,1.684313
d005,1032,17.200000,noise,1.005952,0.531552,1.176375
d005,1044,17.400000,noise,1.186610,0.543700,0.829063
d005,1056,17.600000,noise,1.164214,0.534526,0.784750
d005,1068,17.800000,noise,0.980423,0.471119,0.855125
d005,1080,18.000000,noise,1.065784,0.543448,1.005313
d005,1092,18.200000,noise,1.606622,0.527419,1.053250
d005,1104,18.400000,noise,1.316209,0.447329,0.742938
d005,1116,18.600000,noise,1.279669,0.513962,1.034000
d005,1128,18.800000,noise,1.401513,0.413306,0.775125
d005,1140,19.000000,noise,1.206592,0.429839,0.719437
d005,1152,19.200000,noise,1.060911,0.513155,0.875500
d005,1164,19.400000,noise,1.301382,0.653276,0.803312
d005,1176,19.600000,noise,1.610887,0.583165,0.839812
d005,1188,19.800000,noise,1.465338,0.428629,0.607500
d006,12,0.200000,noise,0.244777,0.013810,0.191688
d006,24,0.400000,noise,0.426122,0.022933,0.033563
d006,36,0.600000,noise,0.005060,0.001613,0.015312
d006,48,0.800000,noise,0.377491,0.001966,0.008250
d006,60,1.000000,noise,0.190755,0.007661,0.006562
d006,72,1.200000,noise,0.409534,0.004133,0.012125
d006,84,1.400000,noise,0.409096,0.000403,0.004562
d006,96,1.600000,noise,0.199881,0.000000,0.009625
d006,108,1.800000,noise,0.361852,0.000000,0.000000
d006,120,2.000000,noise,0.005592,0.000000,0.000000
d006,132,2.200000,noise,0.391108,0.000000,0.000000
d006,144,2.400000,noise,0.209039,0.000000,0.000000
d006,156,2.600000,noise,0.408944,0.000000,0.005063
d006,168,2.800000,noise,0.579020,0.168044,0.408562
d006,180,3.000000,noise,0.442601,0.047782,0.103500
d006,192,3.200000,noise,1.249137,0.024143,0.042313
d006,204,3.400000,noise,0.006069,0.002772,0.011125
d006,216,3.600000,noise,1.017537,0.008115,0.007375
d006,228,3.800000,noise,0.350545,0.003377,0.015750
d006,240,4.000000,noise,1.105035,0.018700,0.042438
d006,252,4.200000,noise,2.051814,0.542944,8.408625
d006,264,4.400000,noise,1.091053,0.004587,6.236875
d006,276,4.600000,noise,2.289746,0.014617,17.341125
d006,288,4.800000,noise,0.007512,0.012601,0.036000
d006,300,5.000000,noise,2.287419,0.067187,16.535563
d006,312,5.200000,noise,5.668647,8.550857,20.289750
d006,324,5.400000,noise,1.049568,0.846069,7.495125
d006,336,5.600000,noise,1.479112,1.087651,11.872687
