clip_id,label,ts_s,flow_magnitude,strip_diff_v1,strip_diff_v3
20260420_202239__d002,real_delivery,7.668133,0.584111,0.066691,1.166076
20260420_202239__d002,real_delivery,7.730987,0.396270,0.052265,0.816539
20260420_202239__d002,real_delivery,7.793840,0.463780,0.051942,0.931885
20260420_202239__d002,real_delivery,7.856694,0.505394,0.039128,0.889874
20260420_202239__d002,real_delivery,7.919547,1.092455,0.092360,1.424104
20260420_202239__d002,real_delivery,7.982401,0.480853,0.029457,0.613180
20260420_202239__d002,real_delivery,8.045255,0.706637,0.024944,0.579344
20260420_202239__d002,real_delivery,8.108108,0.728413,0.080553,0.931245
20260420_202239__d002,real_delivery,8.170962,0.877265,0.082890,1.075305
20260420_202239__d002,real_delivery,8.233815,0.644495,0.037919,0.556935
20260420_202239__d002,real_delivery,8.296669,4.094121,0.300653,4.063584
20260420_202239__d002,real_delivery,8.359522,0.621764,0.000967,0.278714
20260420_202239__d002,real_delivery,8.422376,0.359655,0.001612,0.239165
20260420_202239__d002,real_delivery,8.485229,0.662582,0.003748,0.514874
20260420_202239__d002,real_delivery,8.548083,0.372239,0.000645,0.260737
20260420_202239__d002,real_delivery,8.610937,0.379405,0.000604,0.214539
20260420_202239__d002,real_delivery,8.673790,0.723956,0.001854,0.384949
20260420_202239__d002,real_delivery,8.736644,0.740114,0.004916,0.627118
20260420_202239__d002,real_delivery,8.799497,0.444349,0.003868,0.345942
20260420_202239__d002,real_delivery,8.862351,0.740894,0.001209,0.404649
20260420_202239__d002,real_delivery,8.925204,0.436065,0.002216,0.300778
20260420_202239__d002,real_delivery,8.988058,0.770156,0.005400,0.471828
20260420_202239__d002,real_delivery,9.050911,0.490042,0.000967,0.319888
20260420_202239__d002,real_delivery,9.113765,0.867835,0.002297,0.416371
20260420_202239__d002,real_delivery,9.176618,0.856190,0.003586,0.459762
20260420_202239__d002,real_delivery,9.239472,0.509019,0.005037,0.572301
20260420_202239__d002,real_delivery,9.302326,0.912919,0.003667,0.466706
20260420_202239__d002,real_delivery,9.365179,0.572452,0.005964,0.767386
20260420_202239__d002,real_delivery,9.428033,0.945778,0.003022,0.398050
20260420_202239__d002,real_delivery,9.490886,0.890321,0.010316,0.506600
20260420_202239__d002,real_delivery,9.553740,0.538686,0.016522,0.644405
20260420_202239__d002,real_delivery,9.616593,0.966647,0.008180,0.521769
20260420_202239__d002,real_delivery,9.679447,1.011278,0.056617,0.938731
20260420_202239__d002,real_delivery,9.742300,0.720379,0.023050,0.439766
20260420_202239__d002,real_delivery,9.805154,1.183450,0.036146,0.764381
20260420_202239__d002,real_delivery,9.868008,0.913073,0.035179,0.309939
20260420_202239__d002,real_delivery,9.930861,1.494204,0.016119,0.538121
20260420_202239__d002,real_delivery,9.993715,1.164101,0.024581,0.710697
20260420_202239__d002,real_delivery,10.056568,1.230340,0.008019,0.486850
20260420_202239__d002,real_delivery,10.119422,2.053314,0.029457,0.688436
20260420_202239__d002,real_delivery,10.182275,2.146793,0.082205,1.318607
20260420_202239__d002,real_delivery,10.245129,1.300126,0.067900,0.897015
20260420_202239__d002,real_delivery,10.307982,2.043967,0.093649,1.708678
20260420_202239__d002,real_delivery,10.370836,1.247076,0.051459,0.563682
20260420_202239__d002,real_delivery,10.433690,1.636505,0.045334,1.049744
